company_url,logo_url,company_name,company_description,batch_url,batch_name,industry_1_url,industry_1_url,industry_2_url,industry_2,location
https://www.ycombinator.com/companies/jsx-tool,https://bookface-images.s3.amazonaws.com/small_logos/336184b5090a4103bd3801bd555ccb2323dee7f4.png,JSX Tool,AI-First In-Browser IDE for React Development,https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=B2B,B2B,"https://www.ycombinator.com/companies?industry=Engineering,%20Product%20and%20Design","Engineering, Product and Design",
https://www.ycombinator.com/companies/zephyr-fusion,https://bookface-images.s3.amazonaws.com/small_logos/c896e2a98ef03115005ed5ae8acd4500d7eea752.png,Zephyr Fusion,Powering tomorrow's industrial revolution in space,https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=Industrials,Industrials,https://www.ycombinator.com/companies?industry=Energy,Energy,"San Diego, CA, USA"
https://www.ycombinator.com/companies/mayflower,https://bookface-images.s3.amazonaws.com/small_logos/3ddcb883c95b9e6914fdaf91adac754c2cbcb5b5.png,Mayflower,AI plug-in that automates HR immigration screening and compliance,https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=Government,Government,,,"San Francisco, CA, USA"
https://www.ycombinator.com/companies/item,https://bookface-images.s3.amazonaws.com/small_logos/489b44af8e973c25eda472f6d5b28122caeafb54.png,item,The AI-Native CRM that works for you,https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=B2B,B2B,https://www.ycombinator.com/companies?industry=Sales,Sales,"San Francisco, CA, USA"
https://www.ycombinator.com/companies/rivet-design,https://bookface-images.s3.amazonaws.com/small_logos/27852a72a2c3864e7f9b2c7273ec39951f3e8d68.png,Rivet,Visual editor to design in production code,https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=B2B,B2B,"https://www.ycombinator.com/companies?industry=Engineering,%20Product%20and%20Design","Engineering, Product and Design","San Francisco, CA, USA"
https://www.ycombinator.com/companies/openroll,https://bookface-images.s3.amazonaws.com/small_logos/e85636cc8d85e40e183c3547b34d3f05a5aa19c6.png,Openroll,AI-Native Workday,https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=B2B,B2B,,,"Stockholm, Stockholm County, Sweden"
https://www.ycombinator.com/companies/fixpoint,https://bookface-images.s3.amazonaws.com/small_logos/51f1eaa6d1493780832479f97fca83170e4ebe91.png,Fixpoint,Uber for AI trainers and human-in-the-loop supervisors,https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=B2B,B2B,https://www.ycombinator.com/companies?industry=Human%20Resources,Human Resources,
https://www.ycombinator.com/companies/bear,https://bookface-images.s3.amazonaws.com/small_logos/7696654f248acf11e5913502b817690c5caf5763.png,Bear,Marketing Stack for AI Agents,https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=B2B,B2B,https://www.ycombinator.com/companies?industry=Marketing,Marketing,"San Francisco, CA, USA"
https://www.ycombinator.com/companies/moss,https://bookface-images.s3.amazonaws.com/small_logos/f11bc5117eb236dd5cf2bbd42019008011ec1a59.png,Moss,Real-time semantic search for Conversational AI,https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=B2B,B2B,,,"San Mateo, CA, USA"
https://www.ycombinator.com/companies/zarna,https://bookface-images.s3.amazonaws.com/small_logos/d20374e923bd141960c3c8fd2965f8288e95aa58.png,Zarna,AI Associates for Private Capital,https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=B2B,B2B,https://www.ycombinator.com/companies?industry=Finance%20and%20Accounting,Finance and Accounting,"San Francisco, CA, USA"
https://www.ycombinator.com/companies/markit,https://bookface-images.s3.amazonaws.com/small_logos/7e5614f0ff0430254c23e0743e5e0490fb5f826c.png,MarkIt,AI Agents for Trade Compliance - Saving Companies from Tariffs,https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=B2B,B2B,https://www.ycombinator.com/companies?industry=Supply%20Chain%20and%20Logistics,Supply Chain and Logistics,"San Francisco, CA, USA"
https://www.ycombinator.com/companies/dome,https://bookface-images.s3.amazonaws.com/small_logos/7dc9ddeb09c634cfdedc5563ec8d3c525a7e8189.png,Dome,"A unified API for prediction markets, like Kalshi and Polymarket",https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=B2B,B2B,https://www.ycombinator.com/companies?industry=Infrastructure,Infrastructure,
https://www.ycombinator.com/companies/clicks,https://bookface-images.s3.amazonaws.com/small_logos/5305c55b4b60ebbe6d4f336c1c814b90415438cb.png,Clicks,Computer use agents to automate all back-office work,https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=B2B,B2B,https://www.ycombinator.com/companies?industry=Productivity,Productivity,
https://www.ycombinator.com/companies/fastshot,https://bookface-images.s3.amazonaws.com/small_logos/bac15cb365c68f8004b888ffdda5946e5ec65b76.png,Fastshot,Lovable for mobile apps,https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=B2B,B2B,"https://www.ycombinator.com/companies?industry=Engineering,%20Product%20and%20Design","Engineering, Product and Design",
https://www.ycombinator.com/companies/claybird,https://bookface-images.s3.amazonaws.com/small_logos/9529719c71a2b6a4f16690eb9667a824c2ab4d65.png,Claybird,The full-stack AI ad company,https://www.ycombinator.com/companies?batch=Fall%202025,Fall 2025,https://www.ycombinator.com/companies?industry=B2B,B2B,https://www.ycombinator.com/companies?industry=Marketing,Marketing,"San Francisco, CA, USA"
